0:0:0:0:0:0:0:1 - - [01/May/2018:15:39:28 +0800] "POST /HotelManagementSystem/CustomerViewServlet HTTP/1.1" 200 2209
0:0:0:0:0:0:0:1 - - [01/May/2018:15:39:29 +0800] "POST /HotelManagementSystem/CustomerViewServlet HTTP/1.1" 200 2212
0:0:0:0:0:0:0:1 - - [01/May/2018:15:40:33 +0800] "GET /HotelManagementSystem/SafeExit HTTP/1.1" 200 3141
0:0:0:0:0:0:0:1 - - [01/May/2018:15:40:49 +0800] "GET /HotelManagementSystem/about.html HTTP/1.1" 200 6784
0:0:0:0:0:0:0:1 - - [01/May/2018:15:40:49 +0800] "GET /HotelManagementSystem/images/1.jpg HTTP/1.1" 200 239315
0:0:0:0:0:0:0:1 - - [01/May/2018:15:40:49 +0800] "GET /HotelManagementSystem/images/ab.jpg HTTP/1.1" 200 156538
0:0:0:0:0:0:0:1 - - [01/May/2018:15:40:49 +0800] "GET /HotelManagementSystem/images/11.jpg HTTP/1.1" 200 357946
0:0:0:0:0:0:0:1 - - [01/May/2018:15:40:49 +0800] "GET /HotelManagementSystem/images/12.jpg HTTP/1.1" 200 321577
0:0:0:0:0:0:0:1 - - [01/May/2018:15:40:49 +0800] "GET /HotelManagementSystem/images/xx.jpg HTTP/1.1" 200 181941
0:0:0:0:0:0:0:1 - - [01/May/2018:15:40:49 +0800] "GET /HotelManagementSystem/images/ba.jpg HTTP/1.1" 200 98955
0:0:0:0:0:0:0:1 - - [01/May/2018:15:40:49 +0800] "GET /HotelManagementSystem/images/yy.jpg HTTP/1.1" 200 42620
0:0:0:0:0:0:0:1 - - [01/May/2018:15:40:49 +0800] "GET /HotelManagementSystem/images/fw.jpg HTTP/1.1" 200 93018
0:0:0:0:0:0:0:1 - - [01/May/2018:15:41:10 +0800] "GET /HotelManagementSystem/register.jsp HTTP/1.1" 200 3296
